particle,elasticity,frame,x,y,z,ox,oy,oz,ow
1,0.7872340464791292,1,-0.030488641865712096,0.5310241116577482,0.6268205857161606,-0.0,-0.0,0.47942553860420295,0.8775825618903728
1,0.7872340464791292,2,-0.1162697205896274,0.6836593755236972,0.6372620333978646,-2.4417165488417815e-6,6.694627331144053e-7,0.47053364864864144,0.8823820518817156
1,0.7872340464791292,3,-0.14132007804392482,0.5906923005945934,0.6279107179636539,-1.3388407168354267e-5,3.670794490550724e-6,0.4300673813652047,0.9027967918047513
1,0.7872340464791292,4,-0.16623551913548043,0.4982259282852856,0.604581120567164,-2.4251944486555238e-5,6.649327517974789e-6,0.38893088407272186,0.9212669356826177
1,0.7872340464791292,5,-0.19101412734337145,0.40626737120263134,0.5673518376570786,-3.5011307806794925e-5,9.599298421991163e-6,0.34721873708951256,0.937784168823523
1,0.7872340464791292,6,-0.21565228784800142,0.3148300446922958,0.5163070206202477,-4.5646226213406964e-5,1.2515149381971075e-5,0.3050243711871631,0.9523445441339331
1,0.7872340464791292,7,-0.2401449717506373,0.22393261204106732,0.4515386536236639,-5.613719848683785e-5,1.539153361032468e-5,0.2624398957231794,0.9649483394174645
1,0.7872340464791292,8,-0.26448603391548275,0.13359787912311663,0.3731481836023957,-6.64655102542053e-5,1.8223320054791106e-5,0.21955593757417,0.9755999105812657
1,0.7872340464791292,9,-0.2886684920425072,0.04385175870281437,0.2812475668600457,-7.66132484754585e-5,2.100559737021175e-5,0.1764614907305414,0.9843075413600822
1,0.7872340464791292,10,-0.3123762873426407,-0.04100661478193798,0.19477197147925424,0.011557873557868078,-1.584502766073938e-5,0.14061631565306884,0.9899967005399118
1,0.7872340464791292,11,-0.3286425749398479,-0.09598377672891127,0.22372772493940934,-0.0029918773279109336,0.0515802387291597,0.13213298624832878,0.9898845395235732
1,0.7872340464791292,12,-0.3445489990858852,-0.14990188983099573,0.24210028459992267,-0.0005174336998612975,0.09023633458360712,0.12470515101916034,0.9880818597123266
1,0.7872340464791292,13,-0.3602254314405587,-0.20330648515577904,0.2477743961282466,-0.0014975980945446732,0.12314739528619677,0.11839822238787481,0.9852991105088666
1,0.7872340464791292,14,-0.3752186493172722,-0.25513017144074784,0.24547919313529423,-0.01721807833069057,0.1332038961391593,0.11719707421038211,0.9839843015152592
1,0.7872340464791292,15,-0.3896942033896436,-0.30399924692782704,0.2404094456041416,-0.011292747159085943,0.11106807737564262,0.12513224330317804,0.9858388700673115
1,0.7872340464791292,16,-0.4042072997906991,-0.3513104102381995,0.2268975299139274,-0.009157820583094065,0.07130152749868279,0.13665536593796634,0.9880068509169776
1,0.7872340464791292,17,-0.41899120310632293,-0.39707200009783544,0.20518727381804852,-0.0021756031826159717,0.013606608147289714,0.15165534193169283,0.988337383806309
1,0.7872340464791292,18,-0.43323180951149165,-0.43341911291511137,0.2071254082365384,-0.018758459590919353,-0.0040645357352182615,0.15604421476748248,0.9875635689820847
1,0.7872340464791292,19,-0.44682632222772234,-0.4662373336986203,0.20910611045985578,-0.02493653190132256,-0.0037585477618683845,0.15424336053521878,0.9877110045080284
1,0.7872340464791292,20,-0.459738274971879,-0.49776758032718216,0.2025823488690058,-0.007693673889025218,-0.001090476573272395,0.1493292098929826,0.9887570001348511
1,0.7872340464791292,21,-0.4700370014284216,-0.5249631840966618,0.2020951982088407,0.0012922570765081527,0.008540552143617168,0.14568783783306194,0.9892929004841072
1,0.7872340464791292,22,-0.4788798226455428,-0.5493769961195223,0.1999426801554734,-0.0004090650882555082,0.0032638142262066384,0.14774447734040105,0.9890200956491542
1,0.7872340464791292,23,-0.4857593326122129,-0.5696653165828519,0.20207867464210041,0.0073078407825103355,0.0007672654010936578,0.14779508447563902,0.9889907076265886
1,0.7872340464791292,24,-0.49168611632171555,-0.5877413881192217,0.19970370738468077,0.0011862091096053716,8.543271057768388e-5,0.14866051014129242,0.9888875761853473
1,0.7872340464791292,25,-0.4969279898640466,-0.6018073296184988,0.19947642976697313,0.0002310123839102125,-0.0003187996610368099,0.1485949561802202,0.988898065524376
1,0.7872340464791292,26,-0.5011872894913296,-0.6126007369606772,0.19906168501753874,0.0005349041290548469,-0.0007392877310927181,0.14817701257091556,0.9889604341311042
1,0.7872340464791292,27,-0.5038728640227775,-0.6201348883653215,0.19914173473085073,-0.00020956752064816772,0.0004608555930226575,0.14739961358662745,0.9890768916560985
1,0.7872340464791292,28,-0.5053719650859493,-0.6243297413593497,0.19941896649753266,0.0004109135161383571,-0.0005506093038802234,0.146979659843028,0.9891392761244012
1,0.7872340464791292,29,-0.5055451486200029,-0.6253590513601531,0.19972130762051332,0.0003541205865890866,-4.615954157758249e-5,0.1466149344751902,0.989193577343051
2,0.9985891607735721,1,-0.030488641865712096,0.5310241116577482,0.6268205857161606,-0.0,-0.0,0.47942553860420295,0.8775825618903728
