particle,elasticity,frame,x,y,z
1,0.6929725773472719,1,-0.079072199629564,0.2371617497417993,0.09530369548703405
1,0.6929725773472719,2,-0.04490067350483967,0.31404047395894313,0.16654497233292448
1,0.6929725773472719,3,-0.020796740232337768,0.2565246646301246,0.20169427082254654
1,0.6929725773472719,4,0.0032048991724679897,0.19925294470046775,0.22265787550272864
1,0.6929725773472719,5,0.027109322435401813,0.14221319791047976,0.22949908239086106
1,0.6929725773472719,6,0.050918772171911125,0.08540007302386998,0.2222754238581755
1,0.6929725773472719,7,0.07463249787693604,0.028815360864793076,0.20104370593225546
1,0.6929725773472719,8,0.09868758210856984,-0.026452921965403105,0.17052938108936827
1,0.6929725773472719,9,0.12616573150907176,-0.07288051264447054,0.1633447730276551
1,0.6929725773472719,10,0.15354152346868954,-0.11913515829368672,0.14214801728795556
1,0.6929725773472719,11,0.17996985848155878,-0.16515255341905483,0.11036573629594364
1,0.6929725773472719,12,0.1977680971432926,-0.2077431866331545,0.10548450988180876
1,0.6929725773472719,13,0.21364191462455448,-0.2467883026667709,0.1024801998270465
1,0.6929725773472719,14,0.2278446685350687,-0.28253578848277067,0.10012012094535629
1,0.6929725773472719,15,0.2404718594166502,-0.3148186808648792,0.09885238742019706
1,0.6929725773472719,16,0.2517352398588311,-0.3437143935988106,0.0979832073840631
1,0.6929725773472719,17,0.26158283763362045,-0.369285538719531,0.09749805337998166
1,0.6929725773472719,18,0.27007044773725347,-0.3914212564870593,0.09780519103282724
1,0.6929725773472719,19,0.2772489297559064,-0.41037983087816093,0.09799441260527238
1,0.6929725773472719,20,0.28319887558097184,-0.4261944568199236,0.09783520356279249
1,0.6929725773472719,21,0.2875800930234248,-0.4387856906999786,0.09824255510250751
1,0.6929725773472719,22,0.29076610622059035,-0.4480664662302071,0.09883848490175373
1,0.6929725773472719,23,0.2926561651114366,-0.4542107645187006,0.09913073762595037
1,0.6929725773472719,24,0.29330038785802015,-0.4570833465933,0.09950774559826571
1,0.6929725773472719,25,0.29333513198519984,-0.45728851250352764,0.09976253923128749
1,0.6929725773472719,26,0.29333073514716534,-0.4572881293301828,0.09988287923192837
1,0.6929725773472719,27,0.29332838137658346,-0.45728766309310276,0.09993969994900817
1,0.6929725773472719,28,0.29332699340246066,-0.45728715999403274,0.09996652889690824
1,0.6929725773472719,29,0.293326061990927,-0.4572866406071229,0.09997919668212893
1,0.6929725773472719,30,0.2933253464124749,-0.45728611405609765,0.09998517801284698
2,0.6929725773472719,1,-0.079072199629564,0.2371617497417993,0.09530369548703405
2,0.6929725773472719,2,-0.04490067350483967,0.31404047395894313,0.16654497233292448
2,0.6929725773472719,3,-0.020796740232337768,0.2565246646301246,0.20169427082254654
2,0.6929725773472719,4,0.0032048991724679897,0.19925294470046775,0.22265787550272864
2,0.6929725773472719,5,0.027109322435401813,0.14221319791047976,0.22949908239086106
2,0.6929725773472719,6,0.050918772171911125,0.08540007302386998,0.2222754238581755
2,0.6929725773472719,7,0.07463249787693604,0.028815360864793076,0.20104370593225546
2,0.6929725773472719,8,0.09868758210856984,-0.026452921965403105,0.17052938108936827
2,0.6929725773472719,9,0.12616573150907176,-0.07288051264447054,0.1633447730276551
2,0.6929725773472719,10,0.15354152346868954,-0.11913515829368672,0.14214801728795556
2,0.6929725773472719,11,0.17996985848155878,-0.16515255341905483,0.11036573629594364
2,0.6929725773472719,12,0.1977680971432926,-0.2077431866331545,0.10548450988180876
2,0.6929725773472719,13,0.21364191462455448,-0.2467883026667709,0.1024801998270465
2,0.6929725773472719,14,0.2278446685350687,-0.28253578848277067,0.10012012094535629
2,0.6929725773472719,15,0.2404718594166502,-0.3148186808648792,0.09885238742019706
2,0.6929725773472719,16,0.2517352398588311,-0.3437143935988106,0.0979832073840631
2,0.6929725773472719,17,0.26158283763362045,-0.369285538719531,0.09749805337998166
2,0.6929725773472719,18,0.27007044773725347,-0.3914212564870593,0.09780519103282724
2,0.6929725773472719,19,0.2772489297559064,-0.41037983087816093,0.09799441260527238
2,0.6929725773472719,20,0.28319887558097184,-0.4261944568199236,0.09783520356279249
2,0.6929725773472719,21,0.2875800930234248,-0.4387856906999786,0.09824255510250751
2,0.6929725773472719,22,0.29076610622059035,-0.4480664662302071,0.09883848490175373
2,0.6929725773472719,23,0.2926561651114366,-0.4542107645187006,0.09913073762595037
2,0.6929725773472719,24,0.29330038785802015,-0.4570833465933,0.09950774559826571
2,0.6929725773472719,25,0.29333513198519984,-0.45728851250352764,0.09976253923128749
2,0.6929725773472719,26,0.29333073514716534,-0.4572881293301828,0.09988287923192837
2,0.6929725773472719,27,0.29332838137658346,-0.45728766309310276,0.09993969994900817
2,0.6929725773472719,28,0.29332699340246066,-0.45728715999403274,0.09996652889690824
2,0.6929725773472719,29,0.293326061990927,-0.4572866406071229,0.09997919668212893
2,0.6929725773472719,30,0.2933253464124749,-0.45728611405609765,0.09998517801284698
3,0.6929725773472719,1,-0.079072199629564,0.2371617497417993,0.09530369548703405
3,0.6929725773472719,2,-0.04490067350483967,0.31404047395894313,0.16654497233292448
3,0.6929725773472719,3,-0.020796740232337768,0.2565246646301246,0.20169427082254654
3,0.6929725773472719,4,0.0032048991724679897,0.19925294470046775,0.22265787550272864
3,0.6929725773472719,5,0.027109322435401813,0.14221319791047976,0.22949908239086106
3,0.6929725773472719,6,0.050918772171911125,0.08540007302386998,0.2222754238581755
3,0.6929725773472719,7,0.07463249787693604,0.028815360864793076,0.20104370593225546
3,0.6929725773472719,8,0.09868758210856984,-0.026452921965403105,0.17052938108936827
3,0.6929725773472719,9,0.12616573150907176,-0.07288051264447054,0.1633447730276551
3,0.6929725773472719,10,0.15354152346868954,-0.11913515829368672,0.14214801728795556
3,0.6929725773472719,11,0.17996985848155878,-0.16515255341905483,0.11036573629594364
3,0.6929725773472719,12,0.1977680971432926,-0.2077431866331545,0.10548450988180876
3,0.6929725773472719,13,0.21364191462455448,-0.2467883026667709,0.1024801998270465
3,0.6929725773472719,14,0.2278446685350687,-0.28253578848277067,0.10012012094535629
3,0.6929725773472719,15,0.2404718594166502,-0.3148186808648792,0.09885238742019706
3,0.6929725773472719,16,0.2517352398588311,-0.3437143935988106,0.0979832073840631
3,0.6929725773472719,17,0.26158283763362045,-0.369285538719531,0.09749805337998166
3,0.6929725773472719,18,0.27007044773725347,-0.3914212564870593,0.09780519103282724
3,0.6929725773472719,19,0.2772489297559064,-0.41037983087816093,0.09799441260527238
3,0.6929725773472719,20,0.28319887558097184,-0.4261944568199236,0.09783520356279249
3,0.6929725773472719,21,0.2875800930234248,-0.4387856906999786,0.09824255510250751
3,0.6929725773472719,22,0.29076610622059035,-0.4480664662302071,0.09883848490175373
3,0.6929725773472719,23,0.2926561651114366,-0.4542107645187006,0.09913073762595037
3,0.6929725773472719,24,0.29330038785802015,-0.4570833465933,0.09950774559826571
3,0.6929725773472719,25,0.29333513198519984,-0.45728851250352764,0.09976253923128749
3,0.6929725773472719,26,0.29333073514716534,-0.4572881293301828,0.09988287923192837
3,0.6929725773472719,27,0.29332838137658346,-0.45728766309310276,0.09993969994900817
3,0.6929725773472719,28,0.29332699340246066,-0.45728715999403274,0.09996652889690824
3,0.6929725773472719,29,0.293326061990927,-0.4572866406071229,0.09997919668212893
3,0.6929725773472719,30,0.2933253464124749,-0.45728611405609765,0.09998517801284698
4,0.6929725773472719,1,-0.079072199629564,0.2371617497417993,0.09530369548703405
4,0.6929725773472719,2,-0.04490067350483967,0.31404047395894313,0.16654497233292448
4,0.6929725773472719,3,-0.020796740232337768,0.2565246646301246,0.20169427082254654
4,0.6929725773472719,4,0.0032048991724679897,0.19925294470046775,0.22265787550272864
4,0.6929725773472719,5,0.027109322435401813,0.14221319791047976,0.22949908239086106
4,0.6929725773472719,6,0.050918772171911125,0.08540007302386998,0.2222754238581755
4,0.6929725773472719,7,0.07463249787693604,0.028815360864793076,0.20104370593225546
4,0.6929725773472719,8,0.09868758210856984,-0.026452921965403105,0.17052938108936827
4,0.6929725773472719,9,0.12616573150907176,-0.07288051264447054,0.1633447730276551
4,0.6929725773472719,10,0.15354152346868954,-0.11913515829368672,0.14214801728795556
4,0.6929725773472719,11,0.17996985848155878,-0.16515255341905483,0.11036573629594364
4,0.6929725773472719,12,0.1977680971432926,-0.2077431866331545,0.10548450988180876
4,0.6929725773472719,13,0.21364191462455448,-0.2467883026667709,0.1024801998270465
4,0.6929725773472719,14,0.2278446685350687,-0.28253578848277067,0.10012012094535629
4,0.6929725773472719,15,0.2404718594166502,-0.3148186808648792,0.09885238742019706
4,0.6929725773472719,16,0.2517352398588311,-0.3437143935988106,0.0979832073840631
4,0.6929725773472719,17,0.26158283763362045,-0.369285538719531,0.09749805337998166
4,0.6929725773472719,18,0.27007044773725347,-0.3914212564870593,0.09780519103282724
4,0.6929725773472719,19,0.2772489297559064,-0.41037983087816093,0.09799441260527238
4,0.6929725773472719,20,0.28319887558097184,-0.4261944568199236,0.09783520356279249
4,0.6929725773472719,21,0.2875800930234248,-0.4387856906999786,0.09824255510250751
4,0.6929725773472719,22,0.29076610622059035,-0.4480664662302071,0.09883848490175373
4,0.6929725773472719,23,0.2926561651114366,-0.4542107645187006,0.09913073762595037
4,0.6929725773472719,24,0.29330038785802015,-0.4570833465933,0.09950774559826571
4,0.6929725773472719,25,0.29333513198519984,-0.45728851250352764,0.09976253923128749
4,0.6929725773472719,26,0.29333073514716534,-0.4572881293301828,0.09988287923192837
4,0.6929725773472719,27,0.29332838137658346,-0.45728766309310276,0.09993969994900817
4,0.6929725773472719,28,0.29332699340246066,-0.45728715999403274,0.09996652889690824
4,0.6929725773472719,29,0.293326061990927,-0.4572866406071229,0.09997919668212893
4,0.6929725773472719,30,0.2933253464124749,-0.45728611405609765,0.09998517801284698
5,0.6929725773472719,1,-0.079072199629564,0.2371617497417993,0.09530369548703405
5,0.6929725773472719,2,-0.04490067350483967,0.31404047395894313,0.16654497233292448
5,0.6929725773472719,3,-0.020796740232337768,0.2565246646301246,0.20169427082254654
5,0.6929725773472719,4,0.0032048991724679897,0.19925294470046775,0.22265787550272864
5,0.6929725773472719,5,0.027109322435401813,0.14221319791047976,0.22949908239086106
5,0.6929725773472719,6,0.050918772171911125,0.08540007302386998,0.2222754238581755
5,0.6929725773472719,7,0.07463249787693604,0.028815360864793076,0.20104370593225546
5,0.6929725773472719,8,0.09868758210856984,-0.026452921965403105,0.17052938108936827
5,0.6929725773472719,9,0.12616573150907176,-0.07288051264447054,0.1633447730276551
5,0.6929725773472719,10,0.15354152346868954,-0.11913515829368672,0.14214801728795556
5,0.6929725773472719,11,0.17996985848155878,-0.16515255341905483,0.11036573629594364
5,0.6929725773472719,12,0.1977680971432926,-0.2077431866331545,0.10548450988180876
5,0.6929725773472719,13,0.21364191462455448,-0.2467883026667709,0.1024801998270465
5,0.6929725773472719,14,0.2278446685350687,-0.28253578848277067,0.10012012094535629
5,0.6929725773472719,15,0.2404718594166502,-0.3148186808648792,0.09885238742019706
5,0.6929725773472719,16,0.2517352398588311,-0.3437143935988106,0.0979832073840631
5,0.6929725773472719,17,0.26158283763362045,-0.369285538719531,0.09749805337998166
5,0.6929725773472719,18,0.27007044773725347,-0.3914212564870593,0.09780519103282724
5,0.6929725773472719,19,0.2772489297559064,-0.41037983087816093,0.09799441260527238
5,0.6929725773472719,20,0.28319887558097184,-0.4261944568199236,0.09783520356279249
5,0.6929725773472719,21,0.2875800930234248,-0.4387856906999786,0.09824255510250751
5,0.6929725773472719,22,0.29076610622059035,-0.4480664662302071,0.09883848490175373
5,0.6929725773472719,23,0.2926561651114366,-0.4542107645187006,0.09913073762595037
5,0.6929725773472719,24,0.29330038785802015,-0.4570833465933,0.09950774559826571
5,0.6929725773472719,25,0.29333513198519984,-0.45728851250352764,0.09976253923128749
5,0.6929725773472719,26,0.29333073514716534,-0.4572881293301828,0.09988287923192837
5,0.6929725773472719,27,0.29332838137658346,-0.45728766309310276,0.09993969994900817
5,0.6929725773472719,28,0.29332699340246066,-0.45728715999403274,0.09996652889690824
5,0.6929725773472719,29,0.293326061990927,-0.4572866406071229,0.09997919668212893
5,0.6929725773472719,30,0.2933253464124749,-0.45728611405609765,0.09998517801284698
